"","Density","median","Experiment","centred_time"
"1","0.001",0.00317582244299763,"Feb22",-13.6216151457838
"2","0.001",0.00235434460954908,"Feb22",-13.1216151457838
"3","0.001",0.0044335811823331,"Feb22",-12.6216151457838
"4","0.001",0.00192363797400116,"Feb22",-12.1216151457838
"5","0.001",0.00250036256317966,"Feb22",-11.6216151457838
"6","0.001",0.0031532907320688,"Feb22",-11.1216151457838
"7","0.001",0.00621925268935431,"Feb22",-10.6216151457838
"8","0.001",0.00376007509652717,"Feb22",-10.1216151457838
"9","0.001",0.0029146215150467,"Feb22",-9.62161514578384
"10","0.001",0.00359824897967952,"Feb22",-9.12161514578384
"11","0.001",0.00332396633374235,"Feb22",-8.62161514578384
"12","0.001",0.00383761268777602,"Feb22",-8.12161514578384
"13","0.001",0.00262115464053378,"Feb22",-7.62161514578384
"14","0.001",0.00387796709952816,"Feb22",-7.12161514578384
"15","0.001",0.00287314975575496,"Feb22",-6.62161514578384
"16","0.001",0.00503852211664996,"Feb22",-6.12161514578384
"17","0.001",0.00440465397427144,"Feb22",-5.62161514578384
"18","0.001",0.00457707345697403,"Feb22",-5.12161514578384
"19","0.001",0.00521155569929466,"Feb22",-4.62161514578384
"20","0.001",0.00676741187250917,"Feb22",-4.12161514578384
"21","0.001",0.00791935395166057,"Feb22",-3.62161514578384
"22","0.001",0.00920439607400343,"Feb22",-3.12161514578384
"23","0.001",0.013678551839392,"Feb22",-2.62161514578384
"24","0.001",0.0152006900466014,"Feb22",-2.12161514578384
"25","0.001",0.0179668609521343,"Feb22",-1.62161514578384
"26","0.001",0.0210420381711403,"Feb22",-1.12161514578384
"27","0.001",0.0265486564628589,"Feb22",-0.621615145783837
"28","0.001",0.0417802742959699,"Feb22",-0.121615145783837
"29","0.001",0.0660837629977017,"Feb22",0.378384854216163
"30","0.001",0.00600703803372348,"Feb22",0.878384854216163
"31","0.001",0.0257893873821879,"Feb22",1.37838485421616
"32","0.001",0.00440400272293916,"Feb22",1.87838485421616
"33","0.001",0.00366619084884762,"Feb22",2.37838485421616
"34","0.001",0.00282048660860836,"Feb22",2.87838485421616
"35","0.001",0.00232156541443625,"Feb22",3.37838485421616
"36","0.001",0.00231629922352244,"Feb22",3.87838485421616
"37","0.001",0.00266224719915111,"Feb22",4.37838485421616
"38","0.001",0.0035445586717741,"Feb22",4.87838485421616
"39","0.001",0.00350475497055833,"Feb22",5.37838485421616
"40","0.001",0.00331411954616819,"Feb22",5.87838485421616
"41","1",0.00502475563204474,"Feb23",-3.0229456315223
"42","1",0.0064034244219703,"Feb23",-2.5229456315223
"43","1",0.00444267497343657,"Feb23",-2.0229456315223
"44","1",0.00537212119540413,"Feb23",-1.5229456315223
"45","1",0.00969535242221498,"Feb23",-1.0229456315223
"46","1",0.0119934626076719,"Feb23",-0.522945631522302
"47","1",0.0110707277033285,"Feb23",-0.0229456315223024
"48","1",0.00688728033208317,"Feb23",0.477054368477698
"49","1",0.00743990317258785,"Feb23",0.977054368477698
"50","1",0.00427669331619862,"Feb23",1.4770543684777
"51","1",0.00272093269681712,"Feb23",1.9770543684777
"52","1",0.00177087592123594,"Feb23",2.4770543684777
"53","1",0.00153411452552303,"Feb23",2.9770543684777
"54","1",0.00158488702383844,"Feb23",3.4770543684777
"55","1",0.00363114640188192,"Feb23",3.9770543684777
"56","1",0.00221884125576891,"Feb23",4.4770543684777
"57","1",0.00263288770256271,"Feb23",4.9770543684777
"58","1",0.00255615796386198,"Feb23",5.4770543684777
"59","1",0.0017585829258648,"Feb23",5.9770543684777
"60","1",0.00334440919855284,"Feb23",6.4770543684777
"61","1",0.00263611618596187,"Feb23",6.9770543684777
"62","1",0.00292208664859787,"Feb23",7.4770543684777
"63","1",0.00293439017342242,"Feb23",7.9770543684777
"64","1",0.00309045243844677,"Feb23",8.4770543684777
"65","1",0.00357739909070458,"Feb23",8.9770543684777
"66","1",0.00403759999448519,"Feb23",9.4770543684777
"67","1",0,"Feb23",9.9770543684777
"68","1",0,"Feb23",10.4770543684777
"69","1",0,"Feb23",10.9770543684777
"70","1",0,"Feb23",11.4770543684777
"71","1",0,"Feb23",11.9770543684777
"72","1",0,"Feb23",12.4770543684777
"73","0.01",0.00474470456269128,"Feb24",-10.5452569929183
"74","0.01",0.0026151782062045,"Feb24",-10.0452569929183
